#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0051173	Positive regulation of nitrogen compound metabolic process	12	3166	0.79	4.76e-06	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000325120,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000386593,9606.ENSP00000398880,9606.ENSP00000418915	MSH2,APC,TP53,NTRK2,ATM,PGR,ERCC6,HDAC1,AR,PBRM1,CDK12,CDKN2A
GO Process	GO:0010604	Positive regulation of macromolecule metabolic process	12	3533	0.75	8.84e-06	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000325120,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000386593,9606.ENSP00000398880,9606.ENSP00000418915	MSH2,APC,TP53,NTRK2,ATM,PGR,ERCC6,HDAC1,AR,PBRM1,CDK12,CDKN2A
GO Process	GO:0010628	Positive regulation of gene expression	9	1146	1.11	8.84e-06	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000325120,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000418915	MSH2,TP53,NTRK2,ATM,PGR,ERCC6,HDAC1,AR,CDKN2A
GO Process	GO:1901987	Regulation of cell cycle phase transition	7	431	1.43	8.84e-06	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000386593,9606.ENSP00000418915	MSH2,APC,TP53,ATM,ERCC6,PBRM1,CDKN2A
GO Process	GO:0010165	Response to X-ray	4	31	2.33	1.07e-05	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089	MSH2,TP53,ATM,ERCC6
GO Process	GO:0045935	Positive regulation of nucleobase-containing compound metabolic process	10	2056	0.9	1.90e-05	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000325120,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000386593,9606.ENSP00000398880,9606.ENSP00000418915	MSH2,TP53,ATM,PGR,ERCC6,HDAC1,AR,PBRM1,CDK12,CDKN2A
GO Process	GO:0031325	Positive regulation of cellular metabolic process	11	3114	0.76	3.15e-05	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000325120,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000386593,9606.ENSP00000398880,9606.ENSP00000418915	MSH2,TP53,NTRK2,ATM,PGR,ERCC6,HDAC1,AR,PBRM1,CDK12,CDKN2A
GO Process	GO:0000075	Cell cycle checkpoint signaling	5	157	1.72	4.64e-05	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089	MSH2,APC,TP53,ATM,ERCC6
GO Process	GO:0045786	Negative regulation of cell cycle	6	359	1.44	5.11e-05	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000418915	MSH2,APC,TP53,ATM,ERCC6,CDKN2A
GO Process	GO:2000045	Regulation of G1/S transition of mitotic cell cycle	5	164	1.7	5.11e-05	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000386593,9606.ENSP00000418915	APC,TP53,ATM,PBRM1,CDKN2A
