#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	2	20	2.99	0.0124	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0008340	Determination of adult lifespan	2	21	2.97	0.0124	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0010165	Response to X-ray	2	31	2.8	0.0124	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0043516	Regulation of DNA damage response, signal transduction by p53 class mediator	2	39	2.7	0.0124	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0043525	Positive regulation of neuron apoptotic process	2	54	2.56	0.0124	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0071480	Cellular response to gamma radiation	2	29	2.83	0.0124	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0090399	Replicative senescence	2	16	3.09	0.0124	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0090398	Cellular senescence	2	60	2.52	0.0127	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0001756	Somitogenesis	2	64	2.49	0.0133	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0008630	Intrinsic apoptotic signaling pathway in response to DNA damage	2	75	2.42	0.0169	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0035264	Multicellular organism growth	2	88	2.35	0.0169	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0051402	Neuron apoptotic process	2	91	2.34	0.0169	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0031058	Positive regulation of histone modification	2	111	2.25	0.0176	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:1902749	Regulation of cell cycle G2/M phase transition	2	111	2.25	0.0176	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:2000278	Regulation of DNA biosynthetic process	2	124	2.2	0.0199	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0030183	B cell differentiation	2	129	2.18	0.0202	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0051053	Negative regulation of DNA metabolic process	2	149	2.12	0.0247	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0031334	Positive regulation of protein-containing complex assembly	2	193	2.01	0.0337	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0006302	Double-strand break repair	2	204	1.98	0.0363	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
KEGG	hsa01524	Platinum drug resistance	2	70	2.45	0.0044	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
KEGG	hsa04110	Cell cycle	2	120	2.22	0.0044	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
KEGG	hsa04115	p53 signaling pathway	2	72	2.44	0.0044	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
KEGG	hsa04210	Apoptosis	2	131	2.18	0.0044	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
KEGG	hsa04218	Cellular senescence	2	150	2.12	0.0044	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
KEGG	hsa05202	Transcriptional misregulation in cancer	2	171	2.06	0.0044	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
KEGG	hsa05206	MicroRNAs in cancer	2	159	2.09	0.0044	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
